query,page,impressions,clicks,ctr,position
ftnd是什么缩写？为什么在戒烟里面,,1,0,0.0,8
平板计数法（gb 4789.2）,,1,0,0.0,7
bic计算器,,1,0,0.0,1
,https://chenguangwu.github.io/,6,1,0.16666666666666666,1
,https://chenguangwu.github.io/,8,0,0.0,1
,https://chenguangwu.github.io/tools/parenting/growth-chart.html,4,4,1.0,13
,https://chenguangwu.github.io/tools/literature/reading-tracker.html,1,1,1.0,5
,https://chenguangwu.github.io/tools/science/si-unit-converter.html,1,1,1.0,6
,https://chenguangwu.github.io/tools/science/factorial-calculator.html,11,0,0.0,8
,https://chenguangwu.github.io/tools/science/sample-size-calculator.html,7,0,0.0,7
,https://chenguangwu.github.io/tools/it/invite-code-generator.html,6,0,0.0,8
,https://chenguangwu.github.io/tools/math/formula-calculator.html,4,0,0.0,5
,https://chenguangwu.github.io/tools/science/median-calculator.html,3,0,0.0,4
,https://chenguangwu.github.io/tools/video/subtitle-tool.html,3,0,0.0,8
,https://chenguangwu.github.io/tools/finance/iccid-validator.html,2,0,0.0,5
,https://chenguangwu.github.io/tools/science/barcode-pharmacode.html,2,0,0.0,9
,https://chenguangwu.github.io/tools/it/polybius-cipher.html,1,0,0.0,10
,https://chenguangwu.github.io/tools/it/sql-cheatsheet.html,1,0,0.0,10
,https://chenguangwu.github.io/tools/design/image-to-ascii.html,1,0,0.0,6
,https://chenguangwu.github.io/tools/it/password-generator.html,1,0,0.0,10
,https://chenguangwu.github.io/tools/math/geometry-calculator.html,1,0,0.0,4
,https://chenguangwu.github.io/tools/accessibility/braille-translator.html,3,5,1.6666666666666667,3
,https://chenguangwu.github.io/tools/parenting/growth-chart.html,4,2,0.5,4
,https://chenguangwu.github.io/tools/health/blood-type-calculator.html,3,2,0.6666666666666666,4
,https://chenguangwu.github.io/tools/finance/iccid-validator.html,2,2,1.0,4
,https://chenguangwu.github.io/tools/it/invite-code-generator.html,2,1,0.5,2
,https://chenguangwu.github.io/tools/sports/sports-schedule.html,2,1,0.5,1
,https://chenguangwu.github.io/tools/fun/lucky.html,2,1,0.5,5
,https://chenguangwu.github.io/tools/design/iso-noise-reference.html,2,1,0.5,2
,https://chenguangwu.github.io/tools/hvac/duct-calculator.html,1,1,1.0,6
,https://chenguangwu.github.io/tools/blasting/blasting-safety-distance.html,1,1,1.0,5
,https://chenguangwu.github.io/tools/funeral/grave-design.html,1,1,1.0,3
,https://chenguangwu.github.io/tools/edu/capital-quiz.html,1,1,1.0,2
,https://chenguangwu.github.io/tools/paper/basis-weight.html,1,1,1.0,5
,https://chenguangwu.github.io/tools/it/id-card-generator.html,104,0,0.0,8
,https://chenguangwu.github.io/tools/video/video-speed.html,25,0,0.0,7
,https://chenguangwu.github.io/tools/finance/lottery-odds-calculator.html,14,0,0.0,5
,https://chenguangwu.github.io/tools/science/sample-size-calculator.html,10,0,0.0,9
,https://chenguangwu.github.io/tools/legal/arbitration-fee.html,6,0,0.0,6
,https://chenguangwu.github.io/tools/fishery/mesh-size-guide.html,4,0,0.0,4
,https://chenguangwu.github.io/tools/reproductive-medicine/testicular-volume.html,3,0,0.0,7
,https://chenguangwu.github.io/tools/livestock/heat-stress-index.html,3,0,0.0,6
,https://chenguangwu.github.io/tools/life/radiation-converter.html,3,0,0.0,9
,https://chenguangwu.github.io/tools/fengshui/fengshui-calculator.html,3,0,0.0,10
,https://chenguangwu.github.io/tools/agriculture/canopy-coverage.html,2,0,0.0,10
,https://chenguangwu.github.io/tools/science/physics-calculator.html,2,0,0.0,6
,https://chenguangwu.github.io/tools/nephrology/uacr.html,2,0,0.0,10
,https://chenguangwu.github.io/tools/cardiology/myocardial-bridge.html,2,0,0.0,4
,https://chenguangwu.github.io/tools/marketing/marketing-ltv-calculator.html,2,0,0.0,9
,https://chenguangwu.github.io/tools/science/nato-phonetic.html,2,0,0.0,6
,https://chenguangwu.github.io/tools/data/csv-analyzer.html,1,0,0.0,10
,https://chenguangwu.github.io/tools/science/factorial-calculator.html,1,0,0.0,9
,https://chenguangwu.github.io/tools/design/image-to-ascii.html,1,0,0.0,10
,https://chenguangwu.github.io/tools/machinery/drive-2.html,1,0,0.0,5
,https://chenguangwu.github.io/tools/food/calorie-calculator.html,1,0,0.0,4
,https://chenguangwu.github.io/tools/chinese-cook/ingredient-substitute.html,1,0,0.0,1
,https://chenguangwu.github.io/tools/it/ascii-art.html,1,0,0.0,3
,https://chenguangwu.github.io/tools/it/playfair-cipher.html,1,0,0.0,6
,https://chenguangwu.github.io/tools/fishery/feed-rate-calculator.html,1,0,0.0,6
,https://chenguangwu.github.io/tools/fun/daily-quote.html,1,0,0.0,7
