tool_zh,tool_en,url,industry,quality,competitor,competitor_url,match_type,suggest_platform
Bcrypt Hash / Check - Bcrypt,Bcrypt Hash / Check - Bcrypt,https://chenguangwu.github.io/tools/it/bcrypt.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Benchmark Benchmark,Benchmark Benchmark,https://chenguangwu.github.io/tools/it/benchmark-builder.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Bitwise Calculator,Bitwise Calculator,https://chenguangwu.github.io/tools/it/bitwise-calculator.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Box-shadow Generator,Box-shadow Generator,https://chenguangwu.github.io/tools/it/box-shadow-generator.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Breathing Timer Device,Breathing Timer Device,https://chenguangwu.github.io/tools/health/breath-timer.html,health,A,行业资源页（健康工具清单）,"Google 搜: ""best free online health tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
CAA Record Generator - Generate DNS CAA,CAA Record Generator - Generate DNS CAA,https://chenguangwu.github.io/tools/it/caa-record-generator.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
CSS Compress / Beautify,CSS Compress / Beautify,https://chenguangwu.github.io/tools/it/css-minifier.html,it,A,CSS Formatter / FreeFormatter,https://www.freeformatter.com/css-beautifier.html,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
CSS Format,CSS Format,https://chenguangwu.github.io/tools/it/css-formatter.html,it,A,CSS Formatter / FreeFormatter,https://www.freeformatter.com/css-beautifier.html,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
CSS Minifier,CSS Minifier,https://chenguangwu.github.io/tools/it/css-minify.html,it,A,CSS Formatter / FreeFormatter,https://www.freeformatter.com/css-beautifier.html,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
CSS clamp Calculator,CSS clamp Calculator,https://chenguangwu.github.io/tools/it/clamp-calculator.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
CSV Analyzer,CSV Analyzer,https://chenguangwu.github.io/tools/data/csv-analyzer.html,data,A,CSV to JSON / ConvertCSV,https://www.convertcsv.com,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
CSV Validator,CSV Validator,https://chenguangwu.github.io/tools/it/csv-validator.html,it,A,CSV to JSON / ConvertCSV,https://www.convertcsv.com,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
CSV to YAML Converter,CSV to YAML Converter,https://chenguangwu.github.io/tools/it/csv-to-yaml.html,it,A,YAML Validator / Convert,https://www.json2yaml.com,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
Camera Recording,Camera Recording,https://chenguangwu.github.io/tools/it/camera-recorder.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Charset Detector,Charset Detector,https://chenguangwu.github.io/tools/it/charset-detector.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Chmod Permission Calculator,Chmod Permission Calculator,https://chenguangwu.github.io/tools/it/chmod-calculator.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Classification Accuracy Evaluate,Classification Accuracy Evaluate,https://chenguangwu.github.io/tools/ai/ai.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Clustering K-Means Cost,Clustering K-Means Cost,https://chenguangwu.github.io/tools/ai/k-means.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Code Runner,Code Runner,https://chenguangwu.github.io/tools/it/code-runner.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Code Syntax Highlighting,Code Syntax Highlighting,https://chenguangwu.github.io/tools/it/code-highlighter.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Confusion Matrix Metric,Confusion Matrix Metric,https://chenguangwu.github.io/tools/ai/ai-7.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Cron Expression Generator,Cron Expression Generator,https://chenguangwu.github.io/tools/it/cron.html,it,A,Crontab Guru,https://crontab.guru,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
Crontab Generator,Crontab Generator,https://chenguangwu.github.io/tools/it/crontab-generator.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Data Visualization,Data Visualization,https://chenguangwu.github.io/tools/data/data-visualizer.html,data,A,行业资源页（data工具清单）,"Google 搜: ""best free online data tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Date Duration Calculator,Date Duration Calculator,https://chenguangwu.github.io/tools/it/date-duration.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Device Info View Device,Device Info View Device,https://chenguangwu.github.io/tools/it/device-info.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Docker Run to Compose Converter,Docker Run to Compose Converter,https://chenguangwu.github.io/tools/it/docker-run-converter.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Dockerfile Generator,Dockerfile Generator,https://chenguangwu.github.io/tools/it/dockerfile-generator.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Dropout,Dropout,https://chenguangwu.github.io/tools/ai/dropout.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Early Stopping Patience Estimate,Early Stopping Patience Estimate,https://chenguangwu.github.io/tools/ai/ai-13.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Email Normalization,Email Normalization,https://chenguangwu.github.io/tools/it/email-normalizer.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Emoji Picker,Emoji Picker,https://chenguangwu.github.io/tools/it/emoji-picker.html,it,A,EmojiCopy,https://emojicopy.com,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
English Vocabulary,English Vocabulary,https://chenguangwu.github.io/tools/edu/english-vocabulary.html,edu,A,行业资源页（教育工具清单）,"Google 搜: ""best free online edu tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Euclidean Distance,Euclidean Distance,https://chenguangwu.github.io/tools/ai/ai-4.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Feature Scaling Min-Max,Feature Scaling Min-Max,https://chenguangwu.github.io/tools/ai/min-max.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Git Command Cheat Sheet,Git Command Cheat Sheet,https://chenguangwu.github.io/tools/it/git-cheatsheet.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
GraphQL Format,GraphQL Format,https://chenguangwu.github.io/tools/it/graphql-formatter.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
HTML Compressor,HTML Compressor,https://chenguangwu.github.io/tools/it/html-minifier.html,it,A,HTML Formatter / FreeFormatter,https://www.freeformatter.com/html-formatter.html,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
HTML Nesting Checker,HTML Nesting Checker,https://chenguangwu.github.io/tools/it/html-nesting-checker.html,it,A,HTML Formatter / FreeFormatter,https://www.freeformatter.com/html-formatter.html,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
HTTP Cache Strategy Quick Reference,HTTP Cache Strategy Quick Reference,https://chenguangwu.github.io/tools/it/http-cache.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
HTTP Cookie Quick Reference,HTTP Cookie Quick Reference,https://chenguangwu.github.io/tools/it/http-cookies.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
HTTP Headers,HTTP Headers,https://chenguangwu.github.io/tools/it/http-headers.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
HTTP Method Quick Reference,HTTP Method Quick Reference,https://chenguangwu.github.io/tools/it/http-methods.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
HTTP Methods Reference,HTTP Methods Reference,https://chenguangwu.github.io/tools/it/http-methods-reference.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
HTTP Response Headers,HTTP Response Headers,https://chenguangwu.github.io/tools/it/http-response-headers.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Hash Identifier,Hash Identifier,https://chenguangwu.github.io/tools/it/hash-identifier.html,it,A,Hash Generator / Browserling,https://www.browserling.com/tools,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
Hash Multi,Hash Multi,https://chenguangwu.github.io/tools/it/hash-multi.html,it,A,Hash Generator / Browserling,https://www.browserling.com/tools,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
INI Parser,INI Parser,https://chenguangwu.github.io/tools/it/ini-parser.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
IP Subnet Calculator,IP Subnet Calculator,https://chenguangwu.github.io/tools/it/ip-calculator.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
IPv4 Range Expander,IPv4 Range Expander,https://chenguangwu.github.io/tools/it/ipv4-range-expander.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
IPv6 Address Converter,IPv6 Address Converter,https://chenguangwu.github.io/tools/it/ipv6-converter.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
IPv6 ULA Generator,IPv6 ULA Generator,https://chenguangwu.github.io/tools/it/ipv6-ula.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Image Classification,Image Classification,https://chenguangwu.github.io/tools/ai/image-classification.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Image Convolution Output Size,Image Convolution Output Size,https://chenguangwu.github.io/tools/ai/ai-10.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Integer Base Converter,Integer Base Converter,https://chenguangwu.github.io/tools/it/integer-base-converter.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
JS Minifier,JS Minifier,https://chenguangwu.github.io/tools/it/js-minify.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
JSON Compress / Format,JSON Compress / Format,https://chenguangwu.github.io/tools/it/json-minify.html,it,A,JSON Formatter / jsonformatter.org,https://jsonformatter.org,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
JSON Diff Compare,JSON Diff Compare,https://chenguangwu.github.io/tools/it/json-diff.html,it,A,JSON Formatter / jsonformatter.org,https://jsonformatter.org,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
JSON Format,JSON Format,https://chenguangwu.github.io/tools/it/json-formatter.html,it,A,JSON Formatter / jsonformatter.org,https://jsonformatter.org,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
JSON Formatter,JSON Formatter,https://chenguangwu.github.io/tools/data/calc-2.html,data,A,行业资源页（data工具清单）,"Google 搜: ""best free online data tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
JSON Path Extractor,JSON Path Extractor,https://chenguangwu.github.io/tools/it/calc-7.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
JSON Repairer,JSON Repairer,https://chenguangwu.github.io/tools/it/json-repair.html,it,A,JSON Formatter / jsonformatter.org,https://jsonformatter.org,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
JSON Schema Generator,JSON Schema Generator,https://chenguangwu.github.io/tools/it/json-schema-generator.html,it,A,JSON Formatter / jsonformatter.org,https://jsonformatter.org,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
JSON to CSV,JSON to CSV,https://chenguangwu.github.io/tools/it/json-to-csv.html,it,A,JSON Formatter / jsonformatter.org,https://jsonformatter.org,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
JSON to Code,JSON to Code,https://chenguangwu.github.io/tools/it/json-to-code.html,it,A,JSON Formatter / jsonformatter.org,https://jsonformatter.org,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
JSON to TOML,JSON to TOML,https://chenguangwu.github.io/tools/it/json-to-toml.html,it,A,JSON Formatter / jsonformatter.org,https://jsonformatter.org,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
JSON to XML,JSON to XML,https://chenguangwu.github.io/tools/it/json-to-xml.html,it,A,JSON Formatter / jsonformatter.org,https://jsonformatter.org,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
JSON to YAML,JSON to YAML,https://chenguangwu.github.io/tools/it/json-to-yaml.html,it,A,JSON Formatter / jsonformatter.org,https://jsonformatter.org,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
JSONPath Query,JSONPath Query,https://chenguangwu.github.io/tools/it/json-path.html,it,A,JSON Formatter / jsonformatter.org,https://jsonformatter.org,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
JWT Debugger,JWT Debugger,https://chenguangwu.github.io/tools/it/jwt-debugger.html,it,A,JWT.io,https://jwt.io,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
JWT Decoder,JWT Decoder,https://chenguangwu.github.io/tools/it/calc-8.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
JWT Parser,JWT Parser,https://chenguangwu.github.io/tools/it/jwt.html,it,A,JWT.io,https://jwt.io,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
JavaScript Format,JavaScript Format,https://chenguangwu.github.io/tools/it/js-formatter.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
JavaScript Minify Device,JavaScript Minify Device,https://chenguangwu.github.io/tools/it/js-minifier.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Js Obfuscator,Js Obfuscator,https://chenguangwu.github.io/tools/it/js-obfuscator.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Key Code Keycode Query,Key Code Keycode Query,https://chenguangwu.github.io/tools/it/keycode-info.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Kubernetes YAML Generator,Kubernetes YAML Generator,https://chenguangwu.github.io/tools/it/kubernetes-yaml-generator.html,it,A,YAML Validator / Convert,https://www.json2yaml.com,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
L1 L2,L1 L2,https://chenguangwu.github.io/tools/ai/l1-l2.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
LaTeX Symbol &amp; Command Cheat Sheet,LaTeX Symbol & Command Cheat Sheet,https://chenguangwu.github.io/tools/it/latex.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Less Compiler,Less Compiler,https://chenguangwu.github.io/tools/it/less-compiler.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
List Converter,List Converter,https://chenguangwu.github.io/tools/it/list-converter.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
MAC Address Generator,MAC Address Generator,https://chenguangwu.github.io/tools/it/mac-generator.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
MIME Type Lookup,MIME Type Lookup,https://chenguangwu.github.io/tools/it/mime-type-lookup.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Markdown Linter,Markdown Linter,https://chenguangwu.github.io/tools/it/markdown-lint.html,it,A,Markdown Live Preview,https://stackedit.io,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
Math Expression Evaluate Device - Online Calculate Math Expression : Support + - * / % ^ (,Math Expression Evaluate Device - Online Calculate Math Expression : Support + - * / % ^ (,https://chenguangwu.github.io/tools/it/math-evaluator.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Mean Squared Error RMSE,Mean Squared Error RMSE,https://chenguangwu.github.io/tools/ai/rmse.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Meta Tags Generator,Meta Tags Generator,https://chenguangwu.github.io/tools/it/meta-tags-generator.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Model Ensemble Weighted Voting,Model Ensemble Weighted Voting,https://chenguangwu.github.io/tools/ai/ai-16.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Model flops Estimate,Model flops Estimate,https://chenguangwu.github.io/tools/ai/flops.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Multi-Agent Communication Overhead,Multi-Agent Communication Overhead,https://chenguangwu.github.io/tools/ai/multi-agent-overhead.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
NATO Phonetic Alphabet Convert,NATO Phonetic Alphabet Convert,https://chenguangwu.github.io/tools/it/nato-alphabet.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Nginx Config Generator,Nginx Config Generator,https://chenguangwu.github.io/tools/it/nginx-config-generator.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Numeronym Numeronym,Numeronym Numeronym,https://chenguangwu.github.io/tools/it/numeronym-generator.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
OG Meta Tag Generator,OG Meta Tag Generator,https://chenguangwu.github.io/tools/it/og-meta-tag-generator.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Ocr,Ocr,https://chenguangwu.github.io/tools/ai/ocr.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Overfitting Diagnosis,Overfitting Diagnosis,https://chenguangwu.github.io/tools/ai/ai-11.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
PDF Signature Check,PDF Signature Check,https://chenguangwu.github.io/tools/it/pdf-signature-checker.html,it,A,Smallpdf,https://smallpdf.com,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
Parameter Quantity Estimate,Parameter Quantity Estimate,https://chenguangwu.github.io/tools/ai/ai-6.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Password Strength Detect,Password Strength Detect,https://chenguangwu.github.io/tools/it/password-strength.html,it,A,Passwords Generator,https://passwordsgenerator.net,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
Phone Number Parser &amp; Formatter,Phone Number Parser & Formatter,https://chenguangwu.github.io/tools/it/phone-parser.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Pinyin Typing Practice,Pinyin Typing Practice,https://chenguangwu.github.io/tools/edu/pinyin-typing-practice.html,edu,A,行业资源页（教育工具清单）,"Google 搜: ""best free online edu tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Pivot Table,Pivot Table,https://chenguangwu.github.io/tools/data/pivot-table.html,data,A,行业资源页（data工具清单）,"Google 搜: ""best free online data tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Plist Parser,Plist Parser,https://chenguangwu.github.io/tools/it/plist-parser.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Prime Number Checker,Prime Number Checker,https://chenguangwu.github.io/tools/it/prime-checker.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Prompt Context Window,Prompt Context Window,https://chenguangwu.github.io/tools/ai/ai-17.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Prompt Token Cost,Prompt Token Cost,https://chenguangwu.github.io/tools/ai/token-2.html,ai,A,行业资源页（AI工具清单）,"Google 搜: ""best free online ai tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
