竞品slug,中文名,是否纯前端,状态,本地URL,本地名称,质量,核心token,备注
phone-parser-and-formatter,电话号码解析格式化,是,已覆盖,tools/it/phone-parser.html,Phone Number Parser &amp; Formatter,A,phone,需内置国家码表
qr-code-generator,二维码生成,是,已覆盖,tools/it/wifi-qr-generator.html,WiFi QR Code Generator,A,qr,
random-port-generator,随机端口生成,是,已覆盖,tools/it/random-port-generator.html,Random Port Generator - Batch Generate 1024-65535 Random TCP / UDP,A,random|port,
regex-memo,正则备忘单,是,已覆盖,tools/it/regex-cheatsheet.html,Regex Expression Quick Reference,A,regex|memo,
regex-tester,正则在线测试,是,已覆盖,tools/it/regex.html,Regex Expression Test,A,regex|tester,
roman-numeral-converter,罗马数字转换,是,已覆盖,tools/it/roman-numeral-converter.html,Roman Numeral Converter,A,roman|numeral,
rsa-key-pair-generator,RSA 密钥对生成,是,已覆盖,tools/it/rsa.html,RSA Encrypt Decrypt / Signature Verify,A,rsa|key|pair,WebCrypto
safelink-decoder,SafeLink 解码,是,已覆盖,tools/it/safelink-decoder.html,SafeLink Decoder,A,safelink|decoder,
slugify-string,Slug 生成,是,已覆盖,tools/it/slugify.html,URL Slug Generator,A,slugify,
sql-prettify,SQL 格式化,是,已覆盖,tools/it/sql-formatter.html,SQL Format,A,sql|prettify,
string-obfuscator,字符串混淆,是,已覆盖,tools/it/string-obfuscator.html,String Obfuscation Obfuscator,A,obfuscator,
svg-placeholder-generator,SVG 占位图生成,是,已覆盖,tools/it/svg-placeholder-generator.html,SVG Placeholder Image Generator,A,svg|placeholder,
temperature-converter,温度换算,是,已覆盖,tools/life/temperature-converter.html,Temperature Converter,A,temperature,
text-diff,文本差异对比,是,已覆盖,tools/it/text-diff.html,Text Compare,A,diff,
text-statistics,文本统计,是,已覆盖,tools/it/text-statistics.html,Text Statistics Analysis,A,statistics,
text-to-binary,文本转二进制,是,已覆盖,tools/it/text-to-binary.html,Text to Binary,A,binary,
text-to-nato-alphabet,北约音标字母转换,是,已覆盖,tools/it/nato-alphabet.html,NATO Phonetic Alphabet Convert,A,nato|alphabet,
text-to-unicode,文本转 Unicode,是,已覆盖,tools/it/text-to-unicode.html,Text to Unicode Codepoint,A,unicode,
token-generator,随机 Token 生成,是,已覆盖,tools/it/token-generator.html,Random Token Generator,A,token,
toml-to-json,TOML 转 JSON,是,已覆盖,tools/it/toml-to-json.html,TOML to JSON Converter,A,toml|json,
toml-to-yaml,TOML 转 YAML,是,已覆盖,tools/it/toml-to-yaml.html,TOML to YAML Converter,A,toml|yaml,
ulid-generator,ULID 生成,是,已覆盖,tools/it/ulid-generator.html,ULID Generator,A,ulid,
url-encoder,URL 编解码,是,已覆盖,tools/it/url-encoder-advanced.html,URL Advanced Encode/Decode,A,url|encoder,
url-parser,URL 解析,是,已覆盖,tools/it/url-parser.html,URLParser,A,url,
user-agent-parser,User-Agent 解析,是,已覆盖,tools/it/user-agent-parser.html,User-Agent Parser,A,user|agent,
uuid-generator,UUID 生成,是,已覆盖,tools/it/uuid-generator.html,UUID Generator,A,uuid,
wifi-qr-code-generator,WiFi 二维码生成,是,已覆盖,tools/it/wifi-qr-generator.html,WiFi QR Code Generator,A,wifi|qr,
xml-formatter,XML 格式化,是,已覆盖,tools/it/xml-formatter.html,XML Format,A,xml,
xml-to-json,XML 转 JSON,是,已覆盖,tools/it/xml-to-json.html,XML to JSON,A,xml|json,
yaml-to-json-converter,YAML 转 JSON,是,已覆盖,tools/it/yaml-to-json.html,YAML to JSON Converter,A,yaml|json,
yaml-to-toml,YAML 转 TOML,是,已覆盖,tools/it/yaml-to-toml.html,YAML to TOML Converter,A,yaml|toml,
yaml-viewer,YAML 查看器,是,已覆盖,tools/it/yaml-validator.html,YAML Grammar Verifier,A,yaml,
